이름,선택과목,선택과목코드,총점,정답수,오답번호
김하준,한국사,8,50,20/20,없음
이서준,한국사,8,48,19/20,15
박도윤,한국사,8,46,18/20,"8, 15"
최시우,한국사,8,45,18/20,"3, 15"
정하윤,한국사,8,44,17/20,"8, 12, 15"
강예준,한국사,8,42,17/20,"3, 8, 15"
조서연,한국사,8,41,16/20,"5, 8, 12, 15"
윤민재,한국사,8,40,16/20,"3, 8, 12, 15"
임채원,한국사,8,38,15/20,"3, 5, 8, 12, 15"
한지훈,한국사,8,36,14/20,"3, 5, 8, 10, 12, 15"
오수빈,한국사,8,35,14/20,"5, 8, 10, 12, 15, 18"
신윤서,한국사,8,33,13/20,"3, 5, 8, 10, 12, 15, 18"
배은우,한국사,8,31,12/20,"3, 5, 8, 10, 12, 14, 15, 18"
홍지율,한국사,8,30,12/20,"5, 8, 10, 12, 14, 15, 17, 18"
장하은,한국사,8,28,11/20,"3, 5, 8, 10, 12, 14, 15, 17, 18"
