이름,선택과목,선택과목코드,총점,정답수,오답번호
김민준,확률과통계,3,100,30/30,없음
이서연,미적분,4,96,28/30,"20, 30"
박지호,확률과통계,3,92,27/30,"15, 22, 29"
최유나,기하,9,89,26/30,"11, 14, 20, 29"
정준혁,확률과통계,3,85,25/30,"3, 15, 16, 22, 29"
강서현,미적분,4,82,24/30,"13, 14, 20, 21, 29, 30"
조민재,확률과통계,3,79,24/30,"3, 15, 16, 18, 22, 29"
윤아인,기하,9,76,23/30,"11, 14, 15, 20, 21, 29, 30"
임태양,확률과통계,3,70,22/30,"6, 13, 14, 18, 20, 21, 22, 29"
한예원,미적분,4,67,21/30,"3, 6, 14, 15, 16, 21, 22, 29, 30"
오승우,확률과통계,3,63,20/30,"2, 8, 11, 14, 15, 20, 21, 22, 29, 30"
신지안,확률과통계,3,56,18/30,"3, 11, 12, 14, 18, 20, 21, 22, 23, 28, 29, 30"
배현준,기하,9,52,17/30,"11, 12, 14, 15, 18, 20, 21, 22, 24, 28, 29, 30"
홍다은,확률과통계,3,49,16/30,"11, 12, 14, 16, 18, 19, 20, 21, 22, 26, 27, 28, 29, 30"
장시온,미적분,4,45,15/30,"3, 7, 11, 13, 14, 15, 18, 20, 21, 22, 24, 28, 29, 30"
